id,restaurant,intent,faithfulness,relevancy,groundedness,reason,answer_preview
q001,Desi Bytes,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **Desi Bytes**:

Most Relevant Reviews:

**1.** Pathetic quality of food! Waste of money and the chur chur naan I ordered was a disaster. It was so so soggy and made "
q002,eat.fit,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **eat.fit**:

Most Relevant Reviews:

**1.** Great food came up with neatly packed and the delivery person was handled the package with care and delivered on time, th"
q003,Mustang Terrace Lounge,price,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Mustang Terrace Lounge**:

Most Relevant Reviews:

**1.** Yes... Mustang is a great lounge..just went in the late evening... Just want to kill some time there that "
q004,Olive Garden,hygiene,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 3 relevant reviews about **Olive Garden**:

Most Relevant Reviews:

**1.** Good food. Great service. Lovely ambience, especially the lighting. The staff is courteous too. Overall, a great exp"
q005,Barista,ambience,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",I couldn't find relevant information in the reviews or online about 'What is the ambience like at Barista?' for Barista.
q006,McDonald's,recommend,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **McDonald's**:

Most Relevant Reviews:

**1.** I recently visited a McDonald's outlet, and honestly, it was not a great experience. The service was quite disappointi"
q007,Hyderabad Chefs,quality,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 1 relevant reviews about **Hyderabad Chefs**:

Most Relevant Reviews:

**1.** This place surprised me with its taste and quantity whenever I ordered from it.Great going..would love to place m"
q008,BOX8 - India's Largest Desi Meals Brand,service,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **BOX8 - India's Largest Desi Meals Brand**:

Most Relevant Reviews:

**1.** Box8 makes the freshest and fastest meals, and is great for any day you're craving some I"
q009,Zega - Sheraton Hyderabad Hotel,price,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Zega - Sheraton Hyderabad Hotel**:

Most Relevant Reviews:

**1.** Zega is surely the best restaurant in Hyderabad. Second time visiting this amazing restaurant and"
q010,Mohammedia Shawarma,hygiene,0,0,0,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""","Based on 5 relevant reviews about **Mohammedia Shawarma**:

Most Relevant Reviews:

**1.** The place is more a storage room than a shawarma outlet. Doesn't uphold the mohammedia standard. The vegetabl"
