component,strategy,engine_class,macro_f1,accuracy_or_micro,subset_acc,latency_ms,wall_s,schema_valid_rate,skipped,notes
sentiment,vader,specialized_lexicon,0.5045,0.58,,0.24,0.02,1.0,False,VADER lexicon (analyze_text_and_keywords)
sentiment,distilbert_sst2,specialized_finetuned,0.5599,0.65,,39.5,3.95,1.0,False,distilbert SST-2 -> 3-class via P_pos thresholds 0.7/0.3
sentiment,nli_zeroshot,general_zeroshot,0.6069,0.68,,522.48,52.25,1.0,False,valhalla/distilbart-mnli-12-3 NLI zero-shot — stand-in for Claude/GPT (keys absent)
sentiment,claude_opus_4_6,general_zeroshot_frontier,,,,,,,True,claude-opus-4-6 — API key not present in autonomous run; deferred
sentiment,gpt_5_4,general_zeroshot_frontier,,,,,,,True,gpt-5-4 — API key not present in autonomous run; deferred
complaint,keyword,specialized_lexicon,0.8335,0.8375,0.39,0.1,0.0,1.0,False,categorize_complaints (CATEGORY_KEYWORDS scan)
complaint,tfidf_lgbm_tuned_perclass_thr,specialized_trained,0.8502,0.8458,0.43,33.88,3.39,1.0,False,Day-5 Optuna champion + per-class thresholds (Day-4 production)
complaint,nli_zeroshot,general_zeroshot,0.4844,0.5091,0.01,1714.84,171.48,1.0,False,valhalla/distilbart-mnli-12-3 multi-label hypotheses 'This review mentions <cat>.' thr=0.5 — stand-in for Claude/GPT
complaint,claude_opus_4_6,general_zeroshot_frontier,,,,,,,True,claude-opus-4-6 — API key not present in autonomous run; deferred
complaint,gpt_5_4,general_zeroshot_frontier,,,,,,,True,gpt-5-4 — API key not present in autonomous run; deferred
rag,template_baseline,specialized_template,0.6802,,,5.0,1.0,1.0,False,Day-3 structural composite = 0.6802; templates always emit rating+top_categories so they win the structural proxy.
rag,flan_t5_rerank_champion,specialized_seq2seq_plus_rerank,0.6628,,,2400.0,480.0,1.0,False,"Day-3 LLM-on-existing-chunks + ms-marco-MiniLM-L-6-v2 rerank; higher faithfulness, lower template-style specificity."
rag,claude_opus_4_6,general_zeroshot_frontier,,,,,,,True,claude-opus-4-6 — API key absent; Day-3 evaluated chunking + rerank with flan-t5-base. True frontier LLM-judged RAGAS deferred to an interactive run with API key.
rag,gpt_5_4,general_zeroshot_frontier,,,,,,,True,gpt-5-4 — API key absent; Day-3 evaluated chunking + rerank with flan-t5-base. True frontier LLM-judged RAGAS deferred to an interactive run with API key.
