id,config,restaurant,intent,faithfulness,relevancy,ctx_precision,ctx_recall,ragas_composite,extractiveness,answer_chars,answer_words,sentiment_dir_match,top_category_hit,rating_mention,intent_addressed,specificity,answer_preview
q001,template_baseline,Desi Bytes,quality,0.9853627979755402,0.705872654914856,1.0,0.25,0.6457518098565875,0.5079365079365079,391,65,0,1,1,1,1.0,Based on 1 relevant reviews about **Desi Bytes**:  Most Relevant Reviews:  **1.** Pathetic quality of food! Waste of money and the chur chur naan I ordered was a disaster. It was s
q002,template_baseline,eat.fit,service,0.9707125574350357,0.6750320792198181,1.0,0.75,0.8372768448499132,0.19186046511627908,1002,172,1,1,0,1,0.75,Based on 5 relevant reviews about **eat.fit**:  Most Relevant Reviews:  **1.** Great food came up with neatly packed and the delivery person was handled the package with care and d
q003,template_baseline,Mustang Terrace Lounge,price,0.9843790829181671,0.7008499503135681,1.0,1.0,0.9113744642037561,0.18617021276595744,1069,188,1,1,1,0,0.75,Based on 5 relevant reviews about **Mustang Terrace Lounge**:  Most Relevant Reviews:  **1.** Yes... Mustang is a great lounge..just went in the late evening... Just want to kill s
q004,template_baseline,Olive Garden,hygiene,0.9119595438241959,0.5978491306304932,1.0,1.0,0.8592940283456243,0.31092436974789917,687,120,1,1,0,1,0.75,"Based on 3 relevant reviews about **Olive Garden**:  Most Relevant Reviews:  **1.** Good food. Great service. Lovely ambience, especially the lighting. The staff is courteous too. "
q005,template_baseline,Barista,ambience,0.0,0.9357967972755432,0.0,0.0,0.005530894679604853,0.0,120,20,0,1,0,1,0.5,I couldn't find relevant information in the reviews or online about 'What is the ambience like at Barista?' for Barista.
q006,template_baseline,McDonald's,recommend,0.8835559785366058,0.6923073530197144,1.0,1.0,0.8843684762413011,0.18435754189944134,1093,179,1,1,1,1,1.0,"Based on 5 relevant reviews about **McDonald's**:  Most Relevant Reviews:  **1.** I recently visited a McDonald's outlet, and honestly, it was not a great experience. The service w"
q007,template_baseline,Hyderabad Chefs,quality,0.7866870363553365,0.7717028260231018,1.0,0.5,0.7422590853902262,0.42592592592592593,385,55,1,1,1,1,1.0,Based on 1 relevant reviews about **Hyderabad Chefs**:  Most Relevant Reviews:  **1.** This place surprised me with its taste and quantity whenever I ordered from it.Great going..w
q008,template_baseline,BOX8 - India's Largest Desi Meals Brand,service,0.9523894935846329,0.8205856084823608,1.0,0.75,0.8749836519095247,0.17894736842105263,1086,191,1,1,0,1,0.75,"Based on 5 relevant reviews about **BOX8 - India's Largest Desi Meals Brand**:  Most Relevant Reviews:  **1.** Box8 makes the freshest and fastest meals, and is great for any day y"
q009,template_baseline,Zega - Sheraton Hyderabad Hotel,price,0.927771583199501,0.5898486375808716,1.0,1.0,0.860092997297068,0.17777777777777778,1081,182,1,1,0,1,0.75,Based on 5 relevant reviews about **Zega - Sheraton Hyderabad Hotel**:  Most Relevant Reviews:  **1.** Zega is surely the best restaurant in Hyderabad. Second time visiting this am
q010,template_baseline,Mohammedia Shawarma,hygiene,0.9132315069437027,0.689668595790863,1.0,0.75,0.8290307703524838,0.21481481481481482,876,136,1,1,0,1,0.75,Based on 5 relevant reviews about **Mohammedia Shawarma**:  Most Relevant Reviews:  **1.** The place is more a storage room than a shawarma outlet. Doesn't uphold the mohammedia st
